,Year,T,TM,Tm,V,RA,SN,TS,FG,TN,GR
47,1991.0,14.4,21.2,8.3,5.1,77.0,26.0,15.0,17.0,0.0,1.0
48,1992.0,14.4,20.8,8.6,5.1,93.0,19.0,9.0,2.0,0.0,1.0
49,1993.0,13.4,19.6,7.6,5.4,98.0,38.0,12.0,10.0,1.0,0.0
50,1994.0,14.4,21.1,8.0,5.1,66.0,28.0,4.0,9.0,0.0,0.0
51,1995.0,15.0,22.2,8.4,4.4,41.0,20.0,8.0,12.0,0.0,0.0
52,1996.0,14.0,20.5,7.6,5.0,68.0,23.0,14.0,13.0,0.0,0.0
53,1997.0,14.0,20.5,7.6,5.0,92.33333333333333,23.766666666666666,13.8,23.966666666666665,0.06666666666666667,0.43333333333333335
54,1998.0,14.0,20.5,7.6,5.0,92.33333333333333,23.766666666666666,13.8,23.966666666666665,0.06666666666666667,0.43333333333333335
55,1999.0,15.7,22.4,8.9,7.6,98.0,15.0,13.0,18.0,0.0,0.0
56,2000.0,16.0,22.5,9.1,8.0,84.0,19.0,11.0,25.0,0.0,2.0
57,2001.0,16.3,22.7,9.2,8.2,80.0,20.0,12.0,23.0,1.0,0.0
58,2002.0,16.3,22.7,9.2,8.2,92.0,35.0,13.0,28.0,0.0,0.0
59,2003.0,15.6,21.7,8.9,7.8,109.0,22.0,13.0,19.0,0.0,1.0
60,2004.0,16.6,22.8,9.6,7.7,104.0,17.0,7.0,34.0,0.0,0.0
61,2005.0,16.6,22.8,9.6,7.7,92.33333333333333,23.766666666666666,13.8,23.966666666666665,0.06666666666666667,0.43333333333333335
62,2006.0,16.4,22.6,9.0,9.1,93.0,29.0,21.0,44.0,0.0,0.0
63,2007.0,16.2,22.6,8.5,9.0,86.0,17.0,16.0,37.0,0.0,0.0
64,2008.0,15.9,22.3,8.4,8.8,75.0,34.0,7.0,45.0,0.0,3.0
65,2009.0,16.1,22.3,8.7,9.0,119.0,12.0,22.0,31.0,0.0,1.0
66,2010.0,16.8,23.3,9.4,9.0,109.0,13.0,27.0,27.0,0.0,0.0
67,2011.0,15.8,21.8,8.6,9.5,105.0,41.0,16.0,50.0,0.0,0.0
68,2012.0,15.0,21.4,7.9,9.4,86.0,40.0,23.0,28.0,0.0,2.0
69,2013.0,16.3,22.6,9.1,9.6,90.0,29.0,17.0,22.0,0.0,0.0
70,2014.0,14.9,21.2,7.8,9.5,96.0,30.0,13.0,34.0,0.0,2.0
71,2015.0,16.3,22.3,9.6,9.9,119.0,23.0,19.0,14.0,0.0,0.0
72,2016.0,16.8,23.3,9.9,9.9,102.0,24.0,11.0,6.0,0.0,0.0
73,2017.0,16.0,22.3,9.0,9.9,92.0,27.0,14.0,31.0,0.0,0.0
74,2018.0,16.0,22.4,9.3,9.7,92.0,16.0,9.0,30.0,0.0,0.0
75,2019.0,16.6,22.5,10.0,9.8,111.0,16.0,12.0,19.0,0.0,0.0
76,2020.0,15.5,21.3,9.2,9.8,92.0,37.0,18.0,26.0,0.0,0.0
77,2021.0,17.0,23.4,10.1,10.0,82.0,11.0,10.0,14.0,0.0,0.0
78,2022.0,16.7,22.6,10.2,9.8,115.0,17.0,14.0,32.0,0.0,0.0
79,2023.0,17.3,23.6,10.4,10.0,96.0,15.0,14.0,19.0,0.0,0.0
80,2024.0,17.3,23.6,10.4,10.0,92.33333333333333,23.766666666666666,13.8,23.966666666666665,0.06666666666666667,0.43333333333333335
81,2025.0,17.3,23.6,10.4,10.0,92.33333333333333,23.766666666666666,13.8,23.966666666666665,0.06666666666666667,0.43333333333333335
